Comment,Designator,Footprint,LCSC
5.1k,"R1,R2",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C118848
1nF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C129637
10uF,C9,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850
10k,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
100nF,"C10,C4,C5,C6,C7,C8",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28233
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_GT-USB-7010,C3001293
AP2112K-3.3,U2,SOT-23-5,C3021085
BAV70_Small,"D1,D10,D11,D12,D13,D14,D15,D2,D3,D4,D5,D6,D7,D8,D9",apfel_SOT-23_silkless,C5184417
MX_SW_HS,"MX1,MX10,MX11,MX12,MX13,MX14,MX15,MX16,MX17,MX18,MX19,MX2,MX20,MX21,MX22,MX23,MX24,MX25,MX26,MX27,MX28,MX29,MX3,MX30,MX31,MX32,MX4,MX5,MX6,MX7,MX8,MX9",MX-HotswapSAFE_no_silk,C5184526
SKQGABE010,SW3,SW_Push_SPST_NO_Alps_SKRK,C561519
STM32F072C8Tx,U3,LQFP-48_7x7mm_P0.5mm,C80488
